K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
Q5 AJ65 AKJ T765|K9762 T84 Q963 4|AT Q92 T4 AKQJ82|J843 K73 8752 93
AQ K872 982 AK76|T52 Q953 Q65 853|K4 JT4 KJT3 QJT4|J98763 A6 A74 92
K53 Q2 KJ643 AK6|QT4 97653 Q95 QT|A96 AT A872 8732|J872 KJ84 T J954
AKT7 KT KT92 A84|Q54 J82 843 Q752|J8 AQ97643 AJ J9|9632 5 Q765 KT63
J87 AK5 A9872 K7|AK5 Q872 T63 Q83|Q3 JT96 KJ5 AJT9|T9642 43 Q4 6542
K92 AQ9 KQ QJ982|T74 T8743 J64 63|J865 K2 A95 K754|AQ3 J65 T8732 AT
AK8 KJ52 KT54 J5|T9762 6 A863 K72|QJ4 Q87 QJ2 AQ86|53 AT943 97 T943
Q63 K43 JT54 AKQ|92 97 AK973 8753|AK8 QT862 Q86 T2|JT754 AJ5 2 J964
AK63 K3 AQ5 J863|J875 QT92 K3 Q97|Q4 AJ87 T642 AK5|T92 654 J987 T42
AJT3 AK52 Q62 Q7|765 J9743 J9 A95|Q42 QT A87 KJ862|K98 86 KT543 T43
Q82 K8 AT72 AQ73|A963 Q952 9 KT98|KJ54 AJ KQJ43 J5|T7 T7643 865 642
KQ9 8432 K9 AKT6|AJ42 T J2 975432|86 AKQJ65 875 Q8|T753 97 AQT643 J
KQT QJ8 QJ973 A8|J963 T654 T 7643|A85 K97 A865 Q52|742 A32 K42 KJT9
AJ8 J96 A953 AJ7|743 K542 QT82 96|K5 AQT7 74 KT853|QT962 83 KJ6 Q42
654 KQ6 A2 AQJ74|AT AT9752 J865 5|K82 83 KQ9 K9862|QJ973 J4 T743 T3
T53 AJ A974 AK43|AKJ84 87 T53 JT2|762 KT43 KQJ62 Q|Q9 Q9652 8 98765
AQ QJ972 T85 AQ2|T2 T85 7643 KJ76|J943 AK6 KJ9 983|K8765 43 AQ2 T54
AK92 87 AJT7 K96|76 QJT532 83 Q32|QT AK9 542 AJT84|J8543 64 KQ96 75
AK5 Q763 QJ5 KQ6|QT32 AT82 843 94|J976 K4 AKT96 75|84 J95 72 AJT832
AK3 K972 KQ4 643|76 QT65 7 KQ9875|JT854 AJ AJ52 JT|Q92 843 T9863 A2
JT753 QJ3 AKJ K9|842 T92 QT985 J7|Q6 AK876 43 AQ84|AK9 54 762 T6532
A942 JT75 AT5 AQ|QJT73 82 Q6 T962|K5 AKQ93 KJ9732 |86 64 84 KJ87543
Q92 AKQ93 Q53 K8|43 JT852 KT6 A97|AJT7 764 A2 QJ32|K865  J9874 T654
A652 J53 K6 AK54|84 762 T32 QJ863|K97 AKT94 Q98 T9|QJT3 Q8 AJ754 72
KJ3 K82 KT AQ754|9762 AT64 QJ JT6|A4 QJ97 A975432 |QT85 53 86 K9832
AT53 A6 KQ8 Q743|98 QT94 975 K952|4 K875 AT63 AJT6|KQJ762 J32 J42 8
AKT 43 A83 AQ982|9732 KJ95 QJT 74|QJ5 AQ2 965 KT63|864 T876 K742 J5
876 AQJ2 K8 AQ93|AT9543 98 JT5 T6|KJ KT765 2 KJ742|Q2 43 AQ97643 85
AJ5 AJ72 Q43 KQ2|T94 KQ954 K T954|K76 3 A9762 A873|Q832 T86 JT85 J6
KT3 J4 AQJ83 AT3|Q54 862 T2 QJ876|A96 A93 K7654 K2|J872 KQT75 9 954
AK4 A73 97653 A9|Q92 J4 JT84 KT43|T53 KQT98 AQ J87|J876 652 K2 Q652
AKT92 76 AT2 KQJ|J875 T9 843 T954|Q43 AQJ2 K6 A873|6 K8543 QJ975 62
AQ84 J84 AQ93 Q7|K97652 2 T5 AJ64|J3 AKQ63 J82 T98|T T975 K764 K532
K9863 AKQ 854 A5|T54 T93 J976 K64|AJ7 J654 AQ3 QJ8|Q2 872 KT2 T9732
K65 AKQ93 K62 84|J7432 JT6 75 A52|T 52 AJ843 KQJ63|AQ98 874 QT9 T97
AJ J84 A43 AJ653|942 T9732 96 K82|KQT73 A6 QJT872 |865 KQ5 K5 QT974
AJ2 J75 AJ983 A3|T4 T42 K75 T8642|7653 AKQ98 Q2 Q7|KQ98 63 T64 KJ95
AJ K432 J853 AQT|T98732 AQT5  J84|Q54 J KQ9764 K92|K6 9876 AT2 7653
KQJ6 Q7 A952 A72|87 J64 J74 KQT98|AT92 AT52 KT6 63|543 K983 Q83 J54
QJ4 82 AJ75 AKT3|9 763 KQ942 J962|AT52 KQJ95 T8 Q5|K8763 AT4 63 874
94 AKQ98 A74 KJ6|J86 754 T983 742|A2 JT63 KQJ6 A53|KQT753 2 52 QT98
Q7 AKT9 AK83 954|6543 432 Q942 Q2|KJ92 Q65 7 AKJ86|AT8 J87 JT65 T73
J42 A97 AQ965 A6|KT97 KJ32 2 JT94|AQ865 QT86 KT3 Q|3 54 J874 K87532
AKJT J3 K42 QJ73|972 AK7654 QT65 |Q863 98 AJ3 AK96|54 QT2 987 T8542
A964 KJ5 AQ74 K5|J8752 7642 T6 74|T3 AQ3 KJ9853 QT|KQ T98 2 AJ98632
AJ864 A82 K6 K53|Q52 653 T973 964|KT9 KJ94 AJ8 J72|73 QT7 Q542 AQT8
T97 A54 AQJ86 AQ|Q83 K83 KT72 J72|AKJ52 QT92 54 K4|64 J76 93 T98653
J652 Q74 KQ4 AK8|KQ43 9863 T853 7|A98 AJ2 AJ2 J532|T7 KT5 976 QT964
KJ2 AKJT4 T9 A98|AQ953 952 753 T3|4 76 AKJ82 KQ754|T876 Q83 Q64 J62
AJ9 62 AQT A9643|T762 74 9653 J87|Q43 AKQJT8 872 T|K85 953 KJ4 KQ52
KQJ2 J52 Q5 AQ42|65 874 KJ98642 6|A873 AK 7 KT9873|T94 QT963 AT3 J5
94 A85 AK94 KQJ7|KQT732 J 87 6432|A5 K9742 Q62 A85|J86 QT63 JT53 T9
KJT9 AJ7 Q42 A43|876 864 KJ86 Q92|Q53 QT2 AT7 KJ76|A42 K953 953 T85
92 AKJ52 AQ3 K87|J75 T86 T86 Q432|AQ8 7 KJ9742 AT6|KT643 Q943 5 J95
QJ4 AQT5 K94 K83|K2 32 AJ8763 965|A765 K964 Q52 AJ|T983 J87 T QT742
A3 K652 Q64 AQ73|Q984 AT8 85 JT85|KJT Q AKJ972 K92|7652 J9743 T3 64
T54 QJ AK5 AKT42|K86 T9875 82 J93|AQ93 A2 QJ974 Q7|J72 K643 T63 865
A9 AJ8 QJ75 KJ86|QT762 QT 3 T7432|J83 3 AKT98 AQ95|K54 K976542 642 
K98 T64 AKQ2 KQ7|QT42 J7 J95 T543|AJ65 AK952 T74 8|73 Q83 863 AJ962
Q976 AKT AT84 Q5|AJ2 Q865 K9 9764|K5 J3 QJ652 AT83|T843 9742 73 KJ2
AJ4 AJT4 KJ9 K52|95 Q97652 T2 QT9|KT8632 K3 AQ4 84|Q7 8 87653 AJ763
K82 AKT9 AJ63 74|Q973 83 T4 KQJ95|A4 Q2 Q9752 A832|JT65 J7654 K8 T6
K93 A5 952 AKJ73|765 T3 J87 98652|QT8 KQ862 AK43 Q|AJ42 J974 QT6 T4
972 KJ KQ7 AQ764|KQ 5 AT9863 KJT9|AT54 AQ843 J42 8|J863 T9762 5 532
T86 A7 AK3 A9863|J932 T864 T42 K4|K74 K92 QJ865 QT|AQ5 QJ53 97 J752
AK8 AK Q763 JT87|Q96 JT943 T2 943|J5432 2 AK54 KQ6|T7 Q8765 J98 A52
AQ AQJT Q963 T53|T852 543 AT75 64|76 K7 K84 AKJ987|KJ943 9862 J2 Q2
KQJ2 K9 AT43 K93|965 J643 Q95 T84|AT7 AQT75 6 A762|843 82 KJ872 QJ5
J43 AKQ Q953 A94|K985 J742 742 82|QT762 T53 AK86 K|A 986 JT QJT7653
AQ K43 QJT75 K92|J8653 T9872 K8 J|T4 AQ5 642 AQ875|K972 J6 A93 T643
QJ98 QJ5 AJ97 A5| T82 QT85432 K82|AKT753 K96 K6 T9|642 A743  QJ7643
A8 KQ2 AK72 JT84|Q4 T8765 Q943 A5|KJ32 AJ93 J6 Q76|T9765 4 T85 K932
KQ953 Q53 AT A84|T64 92 J52 K9532|A2 AT87 KQ9864 6|J87 KJ64 73 QJT7
95 AK2 T32 AKJT6|QT64 QT7 J6 8432|AKJ873 9643 AQ5 |2 J85 K9874 Q975
K5 T98 AQ92 AKJ7|JT63 K432 T5 T65|AQ987 AQJ 863 93|42 765 KJ74 Q842
KQ7 AK5 7652 A75|J9854 J9762 Q98 |AT2  AK3 Q986432|63 QT843 JT4 KJT
AKQT9 A94 QJ2 JT|J8732 7632 65 Q2|4 Q AKT94 AK9764|65 KJT85 873 853
T72 AKT KJ63 A93|J84 QJ96 987 KT6|KQ95 8752 A4 Q84|A63 43 QT52 J752
KQ2 32 A76 AK754|87 AQT9 932 QJ98|AJT943 K QJT T32|65 J87654 K854 6
J2 JT7 AKQ5 KJ93|AKT75 Q984 43 65|98 AK5 T98 AQ842|Q643 632 J762 T7
KQJ Q4 KQ8 AT652|T9 T876 AJ95 KJ8|A65432 AKJ92 7 7|87 53 T6432 Q943
J4 KJ9 A54 AKJT7|832 T853 Q97 952|AQ75 A2 T86 Q863|KT96 Q764 KJ32 4
AKQ 97 Q63 KJ984|J84 AKT54 7 QT32|9765 863 AKJT9 A|T32 QJ2 8542 765
Q642 K43 AK96 A5|J85 J98 432 J872|AT3 AQT7 QJ5 QT9|K97 652 T87 K643
62 KJT5 AJ63 AQ5|AK983 Q7 9872 32|QJ74 A64 KT4 KJ8|T5 9832 Q5 T9764
AKQJ6 632 KJ6 Q8|843 5 AQ972 K943|T7 AQJT8 43 AT76|952 K974 T85 J52
K32 7654 AKJ AT6|T96 T93 52 J7542|A4 KQ82 QT87 Q93|QJ875 AJ 9643 K8
AT3 AQT9 73 AQJ2|865 754 9862 T64|Q972 632 AKT4 K8|KJ4 KJ8 QJ5 9753
QJ K65 AQ875 K65|962 T7 J64 QJ942|A875 AJ4 932 A87|KT43 Q9832 KT T3
753 AKT9 KJ A654|982 Q73 T9853 72|K6 82 Q6 KQJT983|AQJT4 J654 A742 
A7 A962 AJ95 KJ6|QJ832 K75 T4 AT7|KT5 Q3 KQ63 Q832|964 JT84 872 954
A84 JT42 AK7 AT5|KQ9 97 T98 J9762|T6532 AQ85 52 KQ|J7 K63 QJ643 843
AQ83 KQ3 QT85 Q7|JT T65 KJ92 T965|K92 J82 A63 KJ43|7654 A974 74 A82
A3 Q832 KQ82 AQ6|QJ752 65 J53 983|K96 AK9 T764 J52|T84 JT74 A9 KT74
95 AK762 AQJ Q76|QJ7 QT943 T9 T84|K832  K6543 AKJ5|AT64 J85 872 932
KQJ74 K3 T64 AQ2|T865 AJ9 Q92 J65|A3 842 KJ53 KT97|92 QT765 A87 843
A52 J98 AQ43 A94| KQ76542 KT KT86|KQ963 AT3 72 Q75|JT874  J9865 J32
AQ72 KQ94 KQJ T8|T T62 T963 96543|J84 AJ853 A75 J2|K9653 7 842 AKQ7
J63 AJ KQJ62 QJ2|Q7 KT964 874 T87|AK854 87 T3 A964|T92 Q532 A95 K53
KT3 K8 AK853 Q74|976 Q9654 74 JT8|QJ42 JT7 62 AK93|A85 A32 QJT9 652
AJ AQ9 JT6 A9862|QT876 KT85 73 K5|K J632 AK9852 T7|95432 74 Q4 QJ43
AK86 AQT4 983 K7|Q974 J53 Q76 Q96|5 K972 AJ2 AJT32|JT32 86 KT54 854
J95 AK QJ8 KQT87|KT3 Q943 93 6432|AQ842 JT AT76 J9|76 87652 K542 A5
52 KQ42 A52 AKJ2|AQ3 JT8 T98743 6|KJ876 A976 K 873|T94 53 QJ6 QT954
A654 Q93 AKJT Q5|8 J876  AKJT9432|KQJT32 A Q9864 7|97 KT542 7532 86
AKQ7 J963 K42 Q6|62 A8754 J6 K872|J5  AQ873 AJ9543|T9843 KQT2 T95 T
KT4 A32 A63 AQ64|QJ98 KJT 87 JT97|A32 954 KJ954 K3|765 Q876 QT2 852
943 AQJ3 AKQ5 53|KQJT7 T965 T842 |A8 K74 J73 AQ872|652 82 96 KJT964
AQ8 AQ JT97 KT74|T43 T2 K43 J9632|KJ972 K9876  AQ5|65 J543 AQ8652 8
T652 A4 AQ83 AQ5|J QJ932 JT972 42|AK9 75 K65 JT973|Q8743 KT86 4 K86
A962 A42 K9 AQ43|T873 JT976 Q 962|Q5 Q853 AJ872 K8|KJ4 K T6543 JT75
AQ Q9754 KQ9 QJ4|J74 AKJ62 T5 T83|96 83 A743 AK752|KT8532 T J862 96
AJT4 Q62 Q75 AK9|K632 J5 KT86 876|98 AK743 A93 QT2|Q75 T98 J42 J543
Q954 AK82 53 AK4|632 Q963 Q2 QJT7|AKJ7 T5 AK98 632|T8 J74 JT764 985
T75 A3 KQJ9 AJ93|KQ8 Q9 754 K8542|A64 K865 AT83 T7|J932 JT742 62 Q6
AJ72 AT KJ75 K75|9 8654 T432 QJ42|65 K32 A96 AT963|KQT843 QJ97 Q8 8
QJ KQT52 K64 A94|AK843 64 J8 KJT7|T65 AJ AQ975 Q65|972 9873 T32 832
KJ8 AK743 J6 A98|943 9 AQ74 K7654|AT2 JT5 K853 QJT|Q765 Q862 T92 32
84 KQT KQ8 AKT97|AQ932 84 52 J854|KJ75 AJ92 A97 Q6|T6 7653 JT643 32
Q2 AKJ53 KQ9 QT6|T96 72 JT6532 K3|AKJ853 9  AJ8742|74 QT864 A874 95
J973 K952 A8 AQJ|Q2 A76 JT93 9864|A8 JT83 KQ52 K72|KT654 Q4 764 T53
KT5 AQ7 AQ8 T874|6432 85 93 KQ632|AJ KJ943 KT7642 |Q987 T62 J5 AJ95
AK4 K8432 Q8 KT9|JT75 65 A2 86532|Q983 AQT97 K5 AQ|62 J JT97643 J74
J3 A87 K862 AK53|965 J92 QT3 Q972|KQT74 KQ6 A95 T8|A82 T543 J74 J64
Q432 K765 K2 AQJ|J 94 AJT875 K987|A7 AQ83 Q964 T65|KT9865 JT2 3 432
A852 KJ4 AQT7 Q9|QJ9764 T85 82 A7|3 AQ72 KJ4 J8542|KT 963 9653 KT63
QJ A43 J94 AQJ62|643 KQ86 T5 KT94|AK872 J AK8763 8|T95 T9752 Q2 753
AJ87 AK2 K72 743|KT963 53 93 T985|Q4 874 AQT6 AKQ2|52 QJT96 J854 J6
AKT A98 KQ632 T5|8653 QJ7 754 QJ9|J9 KT32 J8 AK762|Q742 654 AT9 843
QT3 AKT42 K3 KJ7|A2 93 QT974 QT62|KJ987 Q87 AJ82 A|654 J65 65 98543
AKQJ2 832 98 AJ8|73 QT94 K7 KT762|864 AJ65 AT5 Q94|T95 K7 QJ6432 53
AJ J72 Q8754 AQJ|QT87 AT JT9 8732|54 Q954 AK62 K54|K9632 K863 3 T96
AKQ2 KJ5 Q5 QT86|J6 T873 A4 KJ972|73 AQ642 J82 A43|T9854 9 KT9763 5
A32 KT3 AQ85 A85|J754 A4 T92 JT73|K98 QJ752 K43 Q9|QT6 986 J76 K642
A742 K653 AT3 A7|Q98 T984 852 J54|K QJ7 KJ9 KQT962|JT653 A2 Q764 83
QJ KQ73 A54 QJT9|A986 A985 QT98 4|KT75 J42 K32 AK8|432 T6 J76 76532
AQ4 98 AT542 AQT|T962 K75 QJ76 42|KJ8 Q432 K8 K986|753 AJT6 93 J753
KQJ8 K875 KT3 QJ|AT5 AJ642 984 T3|32 Q3 QJ2 AK9752|9764 T9 A765 864
876 AQ62 KQ AT65|532 98753 JT5 73|AT94 K 8762 KQ82|KQJ JT4 A943 J94
K9 KJ7 A96 KQT92|Q 943 KQT532 864|AT872 Q85 4 AJ53|J6543 AT62 J87 7
A84 AJ95 K7 KJT6|T95 632 AT2 A532|KJ732 QT QJ3 Q87|Q6 K874 98654 94
AT54 QJ7 AJ AJT4|QJ9 65 QT984 953|7 A842 K75 KQ862|K8632 KT93 632 7
AKQT KJ74 876 K7|432 T93 943 AQJ6|J976 AQ62 A5 T82|85 85 KQJT2 9543
QT63 AJ9 KQ4 K93|854 KT432 765 85|K97 Q7 J93 AJ764|AJ2 865 AT82 QT2
AK2 765 AQ985 K6|QJ986 JT 76 T853|754 AKQ4 KJT432 |T3 9832  AQJ9742
QT3 AQ8 KJT54 K9|KJ87 KJ9542 Q6 6|A2 T73 A32 AQJ32|9654 6 987 T8754
KQ KJ6 K876 A754|T9853 A42 J5 K98|74 QT AQ32 QJT62|AJ62 98753 T94 3
KQJ3 76 KQT3 KQJ|T954 AT92 A 9864|A76 KJ84 972 A52|82 Q53 J8654 T73
QT KJ2 AKQ6 T762|9632 93 742 AJ53|KJ AQ86 J985 Q98|A8754 T754 T3 K4
AKT7 T93 AK6 K32|5 J76 T8542 J975|QJ632 AQ852 Q7 Q|984 K4 J93 AT864
KQ AT3 AJ3 J8653|J9 Q92 52 AT9742|AT7654 K75 KQT4 |832 J864 9876 KQ
AK6 A862 JT4 QJ7|954 KQ75 976 K63|Q2 9 AKQ83 AT854|JT873 JT43 52 92
K96 K8732 K7 KQJ|AT543 A964  7654|QJ2 T AQJ9 AT983|87 QJ5 T865432 2
T9 AJ875 AQ9 AJT|Q32 Q962 J732 75|KJ7 43 K854 KQ62|A8654 KT T6 9843
AK65 AQ4 T873 K5|J KT973 Q642 732|Q73 J862 AJ9 A96|T9842 5 K5 QJT84
AQ765 J72 Q2 AK4|T9 943 A954 J982|J82 A KJ63 QT653|K43 KQT865 T87 7
AJ54 J9 QT5 AK73|93 876 K932 QJ85|KQT6 AK5 8764 T4|872 QT432 AJ 962
KQ9 AQJ 965 QJ84|JT 64 QT872 KT62|A7432 9853 AKJ 3|865 KT72 43 A975
KQ2 QJ A7543 KJ5|83 AT987 K82 T97|AJ974 K654 J9 AQ|T65 32 QT6 86432
KQ9 AQ653 AT7 85|JT42 T87 3 AT762|A KJ92 J964 K943|87653 4 KQ852 QJ
K7 QJ43 KQ4 A852|T642 KT62 J92 94|QJ3 A85 AT87 Q73|A985 97 653 KJT6
KJ62 A8 AKJ T974|T J6542 987 Q852|87 KQ QT6432 KJ3|AQ9543 T973 5 A6
T3 AJT7 K92 AKJ2|K982 6432 A7 943|AQ6 K95 QJT86 T6|J754 Q8 543 Q875
Q74 AKT75 AQ QT6|KT9 J92 986 KJ84|AJ5 4 KJ53 A7532|8632 Q863 T742 9
AK AJ95 Q53 Q952|T9 Q863 AK872 T3|Q65 K2 J964 AK64|J87432 T74 T J87
KJ K63 AJT8 K752|T985 T954 K76 Q3|AQ432 AQJ7 Q953 |76 82 42 AJT9864
QJT63 AJ6 87 AK7|972 82 AT943 965|A4 KQ943 K65 J84|K85 T75 QJ2 QT32
AKQ85 K86 Q4 JT4|64 T42 AKT85 863|J32 J73 J7 AKQ95|T97 AQ95 9632 72
K4 AQ5 K9842 AT7|972 6 AQT5 Q9432|AQJ5 J732 76 KJ6|T863 KT984 J3 85
QJ42 K95 AK84 K2|976 AQJT63  J843|AKT5 874 763 A75|83 2 QJT952 QT96
AKJT 76 AQ73 K98|9875 QJ9532 9 JT|3 KT4 KJT85 A763|Q642 A8 642 Q542
K6 A87 JT864 AK8|AT95 532 52 JT75|84 KJ64 AK7 9643|QJ732 QT9 Q93 Q2
AK2 Q53 KQ962 KT|QT9854 T74 A3 92|J6 AKJ2 T85 A876|73 986 J74 QJ543
AQ6 QT K642 AQT8|K984 J642 A 9642|JT A53 QJT73 K75|7532 K987 985 J3
AKQ6 A64 Q54 J75|J93 QJ53 T63 AT4|T8754 K2 A9 KQ62|2 T987 KJ872 983
AK98 QT2 JT2 AQ8|T32 J853 65 J964|J764 AK976 AQ T2|Q5 4 K98743 K753
J9 KQ9 AK864 AT7|A54 JT7 J975 986|KQ87 A853 3 QJ53|T632 642 QT2 K42
K52 K983 QJ4 AK5|T9 T52 A965 T962|8764 AJ7 K8 QJ43|AQJ3 Q64 T732 87
A3 752 AQ72 AJ96|KQT42 T43 63 875|95 AQJ9 KT954 QT|J876 K86 J8 K432
AQ32 KT4 963 AQ2|K8 9 T854 KJ8643|T764 AJ82 AQ7 75|J95 Q7653 KJ2 T9
972 AK3 AK92 J43|T5 T742 J6543 86|KJ4 J985 8 AKQT9|AQ863 Q6 QT7 752
K86 QJ AQ32 KQ85|AQ4 982 JT9 JT62|T AKT7543 84 A93|J97532 6 K765 74
K8 AT543 J65 AKQ|AT97543 J72 A3 7|QJ6 KQ6 K4 JT643|2 98 QT9872 9852
Q652 AQ96 A9 K84|J97 J8 7642 T932|A3 K432 KT85 A65|KT84 T75 QJ3 QJ7
KT75 A5 KQ75 A52|J4 QJ2 J863 K974|AQ962 K84 AT2 86|83 T9763 94 QJT3
Q3 QJ65 AKJ4 KT2|98 T94 8765 Q743|KT764 AK3 QT9 95|AJ52 872 32 AJ86
AJ7 KQT94 AJ J73|KT85 652 QT765 5|Q942 AJ73 K2 Q86|63 8 9843 AKT942
76 A7653 AK5 A82|A8 QT2 QT3 JT973|KQJ3 J8 9874 KQ4|T9542 K94 J62 65
AK4 Q97 A764 Q65|8 K6542 KQT852 9|J763 A83 J3 AK72|QT952 JT 9 JT843
K4 AQJ6 A42 J862|J96 K985 KQ865 7|AQ753 2 93 AQ543|T82 T743 JT7 KT9
KJ AQJ8 QJ42 J75|5 752 KT96 T8432|A97632 T9 A5 AQ6|QT84 K643 873 K9
AKQ97 65 643 AQ2|J543 T943 J982 8|6 KQJ8 AT5 JT654|T82 A72 KQ7 K973
AK543 KJ4 KJ 842|QT8 Q3 T82 KQJ95|J62 A9752 A97 A6|97 T86 Q6543 T73
A652 AK4 KJT4 Q3|Q9873 JT752 2 54|KJ Q6 AQ83 KJ962|T4 983 9765 AT87
K863 AK3 742 KQJ|972 QJ54 AQ965 2|AQ 972 KT8 AT653|JT54 T86 J3 9874
AQJ6 9853 A7 AJ5|KT73 KT4 8653 74|94 A76 Q2 KQT982|852 QJ2 KJT94 63
A75 52 KJ74 AK94|KQ83 AK73 T32 73|JT QJT984 AQ QJ2|9642 6 9865 T865
A6 AJ9 A654 Q542|984 T854 T73 J96|KQJ Q763 QJ82 AT|T7532 K2 K9 K873
AQ94 97 J82 AKJ6|65 8654 743 Q843|KT KJ3 AQT965 T5|J8732 AQT2 K 972
K8 AK82 KJ6 QT95|JT7632 JT43 2 86|A95 Q AQT9853 72|Q4 9765 74 AKJ43
754 AKJ76 AK J85|KT3 T432 T754 32|A982 Q5 Q962 KT4|QJ6 98 J83 AQ976
Q62 A8 AT64 AJ73|AT97 J9 Q98 T986|K85 Q75 KJ32 Q42|J43 KT6432 75 K5
AKT9 A853 KQ T76|82 KT72 973 K985|754 J6 AT6 AQ432|QJ63 Q94 J8542 J
Q5 AKQ6 A983 Q63|J82 72 765 AJT82|A9 T93 KQJ4 K954|KT7643 J854 T2 7
KQ87 Q654 A64 AJ|T9632 2 JT53 KQ8|4 AKJT73 KQ92 T4|AJ5 98 87 976532
AJ64 J6 A72 KQT2|KQ97 952 KJ96 J8|T53 AQT83 Q4 A54|82 K74 T853 9763
J9 Q64 KQT8 AKJT|85 AJ9 9754 Q984|A64 KT73 AJ6 763|KQT732 852 32 52
J5 AT8 AQJ96 QJ7|8432 J K8543 854|KT6 KQ743 2 AT63|AQ97 9652 T7 K92
AQ75 A62 AJ 8753|T9832 874 874 J9|K64 KQ3 952 KQ62|J JT95 KQT63 AT4
A43 QT2 AT76 AJT|K986 3 J83 K9832|QJ75 AKJ976  754|T2 854 KQ9542 Q6
A8 AJ75 AJ73 Q96|QJT652 K63 T86 T|K4 Q4 KQ42 AK872|973 T982 95 J543
Q643 KQ5 AQJ Q97|875 76432 75 KT3|AKT92 AT9 K8643 |J J8 T92 AJ86542
KQ9 KJ54 KT KT98|J52 Q73 9632 A42|AT74 AT86 AJ85 3|863 92 Q74 QJ765
AKQJ 632 J63 A73|97 84 A842 QJT82|T52 KQJ975 Q5 K5|8643 AT KT97 964
A82 KQJ94 T74 AK|953 T QJ98632 83|76 A8763 AK T976|KQJT4 52 5 QJ542
KJT KQ95 T7 AKJT|Q JT872 K6 Q9842|A9652  AQJ54 753|8743 A643 9832 6
AT75 QJ8 AK75 Q7|98632 AT654  T53|KQJ4 932 QT64 A9| K7 J9832 KJ8642
K5 A92 AJT62 A82|QT87 76 754 J754|932 KQT5 KQ93 KQ|AJ64 J843 8 T963
KT8 AQJ8 K96 Q53|972 T53 AQ75 AJT|AQ654 K 832 K764|J3 97642 JT4 982
Q7 K743 K632 AKQ|9843 AT QJ94 T73|K5 QJ2 AT7 J9842|AJT62 9865 85 65
KJ4 KJ843 K4 KJ9|A953 97 AQT973 2|76 A52 J862 AQ86|QT82 QT6 5 T7543
KT53 K52 AQJ9 Q9|A82 QT6 K65 J754|QJ4 AJ97 T42 AK3|976 843 873 T862
K63 KQT3 AJ86 Q5|Q9 952 KT952 964|A742 A764 Q A873|JT85 J8 743 KJT2
AT93 T2 AJ2 KQJ4|754 QJ83 QT653 5|KQ6 K765 K84 T63|J82 A94 97 A9872
T93 K7 A76 AKQ72|J54 T5432 K84 J8|KQ872 AQJ QT9 43|A6 986 J532 T965
KQ5 AKT8 KT QT53|AJT7 J QJ64 9642|62 9754 A982 AK8|9843 Q632 753 J7
96 AKQT6 Q97 AJ8|AQ4 32 J85 T9542|T73 J98 AKT KQ73|KJ852 754 6432 6
KQ85 AT4 A83 Q85|T7 Q753 64 A9432|AJ3 J92 KQT75 K7|9642 K86 J92 JT6
QT832 AQ9 AJ A84|A7 872 K7532 J32|J64 K43 Q86 KQ76|K95 JT65 T94 T95
A64 QJ4 KQ KJ854|K98753 7 T643 Q3| AT9863 A7 A9762|QJT2 K52 J9852 T
974 KQJ Q2 AKJ74|52 97643 943 T98|AJ8 AT KJ8765 Q6|KQT63 852 AT 532
AKJ3 A65 KJ2 T86|742 JT82 9643 J4|65 KQ74 AQT87 K5|QT98 93 5 AQ9732
AK9 AK765 83 J93|JT853 J84 J2 Q65|Q4 QT92 K97 AT42|762 3 AQT654 K87
A96 KQ62 AK95 53|872 9 Q8762 AQ87|KQ43 AT743  KT96|JT5 J85 JT43 J42
953 AK8 AJ654 K3|876 942 Q3 87642|JT2 QJ76 KT2 AQ5|AKQ4 T53 987 JT9
KQJ7 KT4 754 AQ5|T964 Q96 3 KJ962|A83 A3 KJT96 743|52 J8752 AQ82 T8
AJ4 AQ73 Q53 QT6|K92 T642 862 J97|Q7653 KJ5 J AK82|T8 98 AKT974 543
AK6 AQ6 32 A8643|QJ82 J853 K97 Q9|T74 KT7 AQJ8 JT5|953 942 T654 K72
AJT AT3 K53 K764|852 KQ QT94 Q952|K9764 9752 A82 A|Q3 J864 J76 JT83
KQJT4 AJ3 AJ6 J2|9 9864 Q542 K875|7632 KT5 K AQ963|A85 Q72 T9873 T4
AKT8 KT4 KJ86 K4|Q653 Q865 T4 AT5|J74 AJ9 A975 J97|92 732 Q32 Q8632
KJ6 KJ73 AJ7 Q95|QT5 A QT8632 J83|A83 Q85 95 AKT64|9742 T9642 K4 72
AK542 KQ T96 A64|8 T9874 A752 K93|QJ963 A62 KQ3 82|T7 J53 J84 QJT75
K976 AK7 86 AJT8|T5 QT64 K93 K753|AQJ2 J32 QJ72 92|843 985 AT54 Q64
AQ2 KQJ5 AT9 953|843 76 7643 AJT6|KJ6 A932 2 KQ874|T975 T84 KQJ85 2
AQ73 32 KQT AT43|T865 T954 74 652|J4 AKQ J8532 Q87|K92 J876 A96 KJ9
43 Q97 AQ86 AK83|KT65 863 7532 T7|AJ2 AJT4 K9 J962|Q987 K52 JT4 Q54
K6 AKQ8 J852 Q54|Q73 T954 T6 K732|J8 J72 AKQ94 JT9|AT9542 63 73 A86
AK8 JT62 K82 AQ9|QT74 A9874 JT T7|J2 KQ53 A754 K32|9653  Q963 J8654
